group,trait,model,n,r_mean,r_ci_lo,r_ci_hi,n_reps
B_prot_ox,Crude_Protein,Shared-trunk MLP,41,0.03387537934414035,-0.09029386505647155,0.16926861510605912,10
B_prot_ox,Total_Oxalate,Shared-trunk MLP,41,-0.01818778445869102,-0.1778178337672808,0.10576193416108719,10
B_prot_ox,Soluble_Oxalate,Shared-trunk MLP,41,0.2792709646012998,0.1078734629855772,0.3739803297769665,10
B_prot_ox,Insoluble_Oxalate,Shared-trunk MLP,41,-0.0746146776584484,-0.2658722086965561,0.06212574640991226,10
C_seed_size,Seed_Length,Single RR-BLUP,95,0.09851940202727776,0.009443874122303476,0.1588027618093849,10
C_seed_size,Seed_Width,Single RR-BLUP,95,-0.05016572672055758,-0.16090585004427635,0.029894518789924687,10
C_seed_size,Seed_Thickness,Single RR-BLUP,95,0.05209099826236417,-0.06591950065870442,0.1911628191019173,10
C_seed_size,Mass_of_Seeds,Single RR-BLUP,95,-0.0594030290319,-0.12111657587358281,0.030835049155625745,10
C_seed_size,Seed_Length,Single XGBoost,95,0.08590626456857095,-0.001560234188632572,0.1932169441753322,10
C_seed_size,Seed_Width,Single XGBoost,95,0.015119771523698483,-0.09637714688661142,0.10885558341153895,10
C_seed_size,Seed_Thickness,Single XGBoost,95,0.06427848881354267,-0.00988875808302139,0.22957668830139802,10
C_seed_size,Mass_of_Seeds,Single XGBoost,95,-0.11612139563610299,-0.1679207290908577,-0.06109600178270511,10
C_seed_size,Seed_Length,Multi-trait GBLUP,95,0.09851940202727724,0.009443874122302862,0.15880276180938396,10
C_seed_size,Seed_Width,Multi-trait GBLUP,95,-0.050165726720557656,-0.16090585004427702,0.029894518789925356,10
C_seed_size,Seed_Thickness,Multi-trait GBLUP,95,0.05209099826236381,-0.06591950065870478,0.19116281910191765,10
C_seed_size,Mass_of_Seeds,Multi-trait GBLUP,95,-0.05940302903189988,-0.12111657587358288,0.030835049155625908,10
C_seed_size,Seed_Length,Multi-output XGB,95,0.08590626456857095,-0.001560234188632572,0.1932169441753322,10
C_seed_size,Seed_Width,Multi-output XGB,95,0.015119771523698483,-0.09637714688661142,0.10885558341153895,10
C_seed_size,Seed_Thickness,Multi-output XGB,95,0.06427848881354267,-0.00988875808302139,0.22957668830139802,10
C_seed_size,Mass_of_Seeds,Multi-output XGB,95,-0.11612139563610299,-0.1679207290908577,-0.06109600178270511,10
C_seed_size,Seed_Length,Shared-trunk MLP,95,-0.0374391816396089,-0.08323541776603775,0.0048784654062551235,10
C_seed_size,Seed_Width,Shared-trunk MLP,95,-0.11559957377664713,-0.15853241161234957,-0.06193000951960215,10
C_seed_size,Seed_Thickness,Shared-trunk MLP,95,0.030843605926511954,-0.0015223666635470151,0.060630819389238276,10
C_seed_size,Mass_of_Seeds,Shared-trunk MLP,95,-0.005618465490446185,-0.0866698273829673,0.03629452261268642,10
D_antiox,Antioxidant,Single RR-BLUP,93,0.12629087945835352,0.017539793946692986,0.25289233188231974,10
D_antiox,Flavonoid,Single RR-BLUP,93,-0.19674090664020444,-0.3265649571135176,-0.08368873279410174,10
D_antiox,Phenol,Single RR-BLUP,93,-0.037717587708506396,-0.17199755404616154,0.055023386157146026,10
D_antiox,Antioxidant,Single XGBoost,93,0.03554977251756304,-0.09453791795408352,0.16586634433521996,10
D_antiox,Flavonoid,Single XGBoost,93,-0.14437396532654292,-0.25677383753900507,-0.012849967158779178,10
D_antiox,Phenol,Single XGBoost,93,-0.04339455274336344,-0.16685729088291182,0.04415117539333079,10
