n_sub,rep_i,rep_j,n_shared,ari_k24
60,4,7,40,0.9316987740805605
60,4,8,36,0.6264453009190631
60,4,9,37,0.5858407079646017
60,4,10,39,0.5018541409147095
60,4,11,37,0.531129476584022
60,4,12,39,0.6674586204165677
60,4,13,35,0.768253587799982
60,4,14,40,0.662962962962963
60,4,15,38,0.688498301436921
60,4,16,38,0.8139350228280289
60,4,17,36,0.7072330654420207
60,4,18,36,0.6242896232372133
60,4,19,34,0.687186349949816
60,4,20,39,0.772051434548102
60,4,21,43,0.7448503856912775
60,4,22,39,0.640877649028506
60,4,23,40,0.6404255319148936
60,4,24,37,0.6052672267175179
60,4,25,34,0.8229885057471265
60,4,26,37,0.8554059921841077
60,4,27,37,0.5313413445924001
60,4,28,37,0.5999199038846615
60,4,29,36,0.6727183244928091
60,4,30,43,0.8941408173313639
60,4,31,39,0.7780297843204382
60,4,32,42,0.7183010618363522
60,4,33,37,0.7575360419397117
60,4,34,38,0.598394419555609
60,4,35,40,0.6837837837837838
60,4,36,41,0.8868184955141477
60,4,37,38,0.6387832699619772
60,4,38,40,0.7785439059014398
60,4,39,42,0.632980293143588
60,4,40,36,0.6267140680548502
60,4,41,42,0.7020537124802527
60,4,42,40,0.6124116607773852
60,4,43,36,0.8386860779866852
60,4,44,35,0.6728971962616822
60,4,45,39,0.8035293424463823
60,4,46,37,0.7245657568238213
60,4,47,38,0.7622961479439228
60,4,48,42,0.8567353633316694
60,4,49,41,0.779250933808931
60,5,6,40,0.7719774483190646
60,5,7,41,0.7675819309123117
60,5,8,38,0.6993156544054747
60,5,9,36,0.7697368421052632
60,5,10,38,0.8607300282303997
60,5,11,40,0.7348848368522073
60,5,12,38,0.6291441788743254
60,5,13,39,0.6294205901264557
60,5,14,38,0.7456814687528263
60,5,15,42,0.8073394495412844
60,5,16,40,0.7870322469391274
60,5,17,41,0.7120196669495742
60,5,18,37,0.6459474932526376
60,5,19,35,0.5701606522412191
60,5,20,36,0.788397869583993
60,5,21,41,0.531144894389883
60,5,22,39,0.7782809040314377
60,5,23,37,0.8057931570762052
60,5,24,41,0.7740094676091045
60,5,25,40,0.8462933039057265
60,5,26,35,0.7387317577166473
60,5,27,38,0.6994290888056135
60,5,28,40,0.7300944669365722
60,5,29,38,0.7761988828755825
60,5,30,37,0.7285940683721983
60,5,31,41,0.8774086378737541
60,5,32,38,0.8003732100117642
60,5,33,39,0.718181614801226
60,5,34,36,0.72
60,5,35,36,0.8720942036341488
60,5,36,40,0.8266666666666667
60,5,37,41,0.7239057239057239
60,5,38,40,0.6617386162034299
60,5,39,35,0.6124283480979676
60,5,40,33,0.7526766595289079
60,5,41,41,0.6866068461282818
