n_sub,rep_i,rep_j,n_shared,ari_k24
60,13,41,35,0.6074436294485194
60,13,42,36,0.825
60,13,43,38,0.6403540185194659
60,13,44,42,0.7553282182438192
60,13,45,39,0.7293546148507981
60,13,46,41,0.575150498371657
60,13,47,39,0.8127077946065755
60,13,48,40,0.6682262866865164
60,13,49,41,0.7897435897435897
60,14,15,39,0.6301472423259297
60,14,16,40,0.4390016328434803
60,14,17,41,0.7957353527301714
60,14,18,38,0.7027880999532721
60,14,19,37,0.47012345679012346
60,14,20,41,0.729759419971438
60,14,21,39,0.4614134849715678
60,14,22,35,0.7829734461628246
60,14,23,35,0.730016956033721
60,14,24,39,0.68992
60,14,25,39,0.8301108139090562
60,14,26,35,0.5956000715435521
60,14,27,40,0.6129306678009357
60,14,28,38,0.4944212710871843
60,14,29,38,0.7218901098901099
60,14,30,38,0.6518767950876498
60,14,31,41,0.7220069740410694
60,14,32,41,0.7283661196616044
60,14,33,37,0.5480616038236856
60,14,34,40,0.7852718513420509
60,14,35,40,0.9077578051087984
60,14,36,36,0.8750743604997026
60,14,37,34,0.6371280724450195
60,14,38,39,0.767995901289386
60,14,39,40,0.5421744984980837
60,14,40,40,0.485405837664934
60,14,41,43,0.6431112165046241
60,14,42,39,0.6497695852534562
60,14,43,42,0.7146171693735499
60,14,44,39,0.8967247386759581
60,14,45,35,0.7346011921657678
60,14,46,42,0.881042139544064
60,14,47,39,0.8508020313653549
60,14,48,35,0.7738674369109152
60,14,49,38,0.6172918934969811
60,15,16,36,0.49593279103880517
60,15,17,42,0.7797515845720945
60,15,18,34,0.7330820188119899
60,15,19,38,0.6592628495564031
60,15,20,35,0.6144329896907217
60,15,21,40,0.4120026476428624
60,15,22,36,0.45853029651912336
60,15,23,35,0.681665868836764
60,15,24,38,0.6800320769847634
60,15,25,41,0.7240915208613729
60,15,26,34,0.7458745874587459
60,15,27,35,0.3668288233505625
60,15,28,39,0.5733532934131736
60,15,29,35,0.6836308393467527
60,15,30,37,0.5168842863574966
60,15,31,39,0.7145608628659477
60,15,32,38,0.845575959933222
60,15,33,39,0.7565525297510404
60,15,34,35,0.40218806980984634
60,15,35,40,0.6403688524590164
60,15,36,38,0.661298093468236
60,15,37,37,0.7033218785796106
60,15,38,37,0.46849028565138423
60,15,39,35,0.6783349101229896
60,15,40,35,0.6375634517766497
60,15,41,38,0.7087608139393201
60,15,42,40,0.7061778001004521
60,15,43,41,0.7851753528014531
60,15,44,37,0.8110394635027083
60,15,45,38,0.7359516616314199
