n_sub,rep,k,silhouette,is_best_k
60,21,2,0.096754383266741,False
60,21,3,0.09610881517059185,False
60,21,5,0.08866771139658979,False
60,21,8,0.10553258748397978,False
60,21,10,0.09473624441561262,False
60,21,15,0.10709161069627043,False
60,21,20,0.1269116584730169,False
60,21,24,0.13296722702611588,False
60,21,28,0.1534854421914618,True
60,22,2,0.11739692339933487,False
60,22,3,0.11984366047733622,False
60,22,5,0.10779276598947996,False
60,22,8,0.10857379640996628,False
60,22,10,0.11786901692705085,False
60,22,15,0.13794595820932543,False
60,22,20,0.1591344576336146,False
60,22,24,0.17259168190172253,True
60,22,28,0.17220891124859486,False
60,23,2,0.08990645978904133,True
60,23,3,0.08666203478466268,False
60,23,5,0.0775338906712615,False
60,23,8,0.07739957303970153,False
60,23,10,0.08097612400990568,False
60,23,15,0.08399927994044439,False
60,23,20,0.08424949093169011,False
60,23,24,0.086604289771572,False
60,23,28,0.08185211546944395,False
60,24,2,0.07529867902912361,False
60,24,3,0.07170608111275437,False
60,24,5,0.06847510791939213,False
60,24,8,0.07815339347567106,False
60,24,10,0.073675709322475,False
60,24,15,0.08339309959766693,False
60,24,20,0.09654453941186611,True
60,24,24,0.09320200435707077,False
60,24,28,0.08825519308214862,False
60,25,2,0.07428247378020392,False
60,25,3,0.06845912914872979,False
60,25,5,0.0694632278950776,False
60,25,8,0.07407901183971771,False
60,25,10,0.07925633016233238,False
60,25,15,0.08605772539237434,False
60,25,20,0.0982838018008411,False
60,25,24,0.10397267927375878,True
60,25,28,0.10342468752017901,False
60,26,2,0.08759722380311048,False
60,26,3,0.07974725386905997,False
60,26,5,0.0792021966535206,False
60,26,8,0.08239107191989291,False
60,26,10,0.08381715556561839,False
60,26,15,0.08368975048243264,False
60,26,20,0.08763603385245307,True
60,26,24,0.08405933513201137,False
60,26,28,0.08441514463372543,False
60,27,2,0.10590800611975494,False
60,27,3,0.10403033020776538,False
60,27,5,0.10681899253941983,False
60,27,8,0.12278788455533476,False
60,27,10,0.12421166896058713,False
60,27,15,0.15045941437428548,False
60,27,20,0.17523340054277217,False
60,27,24,0.18378657602416748,False
60,27,28,0.18567317994528562,True
60,28,2,0.07602093517973554,False
60,28,3,0.0721447087203786,False
60,28,5,0.06670496894585866,False
60,28,8,0.07023991656573109,False
60,28,10,0.07762753130284424,False
60,28,15,0.08088452826116432,False
60,28,20,0.08238656482480715,True
60,28,24,0.0778528748697007,False
60,28,28,0.08059966571253506,False
60,29,2,0.12235863797985182,False
60,29,3,0.10086597607802168,False
60,29,5,0.09094091443366206,False
60,29,8,0.11342561830929031,False
60,29,10,0.1416464316239819,False
60,29,15,0.17441492475236897,False
60,29,20,0.1759525050499988,True
60,29,24,0.16966607159249703,False
60,29,28,0.17141045635802907,False
60,30,2,0.07945746922968762,True
60,30,3,0.07424399946676008,False
60,30,5,0.06133265651973014,False
60,30,8,0.05883148821396996,False
60,30,10,0.06065583746404462,False
60,30,15,0.06468884869445507,False
60,30,20,0.07311960902307334,False
60,30,24,0.07194587729640804,False
60,30,28,0.07242675998293045,False
60,31,2,0.05418575060289366,False
60,31,3,0.053318203355170686,False
60,31,5,0.04943595039806408,False
60,31,8,0.06414894770825004,False
60,31,10,0.06591792767495085,False
60,31,15,0.06912189868487159,False
60,31,20,0.07393297471764453,False
60,31,24,0.08076624714230264,True
60,31,28,0.0788626361755093,False
60,32,2,0.12591665068586294,False
60,32,3,0.11437894099556814,False
60,32,5,0.12798866339517678,False
60,32,8,0.11680900223666511,False
60,32,10,0.132377055060763,False
60,32,15,0.12893922261703006,False
60,32,20,0.13613338327372493,False
60,32,24,0.13897236254857515,False
60,32,28,0.14059112275407085,True
60,33,2,0.06356075534237952,False
60,33,3,0.059568747865032266,False
60,33,5,0.05429858475075665,False
60,33,8,0.05034704000202583,False
60,33,10,0.05352875115615122,False
60,33,15,0.0651345173524623,False
60,33,20,0.0736547850671216,True
60,33,24,0.07093627854184838,False
60,33,28,0.07011428878008669,False
60,34,2,0.11019539787271802,False
60,34,3,0.10317880647849535,False
60,34,5,0.11252696983005789,False
60,34,8,0.11863057477165283,False
60,34,10,0.11604379116524968,False
60,34,15,0.14087456154905442,False
60,34,20,0.1644210378801757,False
60,34,24,0.18965244020050293,False
60,34,28,0.19324246088212377,True
60,35,2,0.13152149497626836,False
60,35,3,0.1280085644296583,False
60,35,5,0.1240043510090387,False
60,35,8,0.12361968862002409,False
60,35,10,0.12099320462441442,False
60,35,15,0.13450609590716406,False
60,35,20,0.16433749059579034,True
60,35,24,0.1517189920420706,False
60,35,28,0.1626392204286586,False
60,36,2,0.06997607019196402,False
60,36,3,0.06690365940335638,False
60,36,5,0.06414527576515558,False
60,36,8,0.06872749885090537,False
60,36,10,0.06738846385546841,False
60,36,15,0.06516918939309145,False
