trait,model,boot_i,boot_j,spearman_full,jaccard_top_k
Insoluble_Oxalate,RandomForest,4,9,0.24807793961986604,0.0
Insoluble_Oxalate,RandomForest,4,10,0.20853116116610199,0.0
Insoluble_Oxalate,RandomForest,4,11,0.2739832319353887,0.0
Insoluble_Oxalate,RandomForest,4,12,0.3520879568325808,0.0
Insoluble_Oxalate,RandomForest,4,13,0.2522867909543059,0.0
Insoluble_Oxalate,RandomForest,4,14,0.3228633483833891,0.0
Insoluble_Oxalate,RandomForest,4,15,0.31310483256405125,0.0
Insoluble_Oxalate,RandomForest,4,16,0.3350267363378446,0.1111111111111111
Insoluble_Oxalate,RandomForest,4,17,0.2888702306727501,0.0
Insoluble_Oxalate,RandomForest,4,18,0.2698768598750784,0.0
Insoluble_Oxalate,RandomForest,4,19,0.31045863844769556,0.0
Insoluble_Oxalate,RandomForest,4,20,0.28707997130748114,0.0
Insoluble_Oxalate,RandomForest,4,21,0.3471415623440054,0.0
Insoluble_Oxalate,RandomForest,4,22,0.2565995589853587,0.0
Insoluble_Oxalate,RandomForest,4,23,0.28308830500203447,0.0
Insoluble_Oxalate,RandomForest,4,24,0.2600897578054977,0.0
Insoluble_Oxalate,RandomForest,4,25,0.24454094067276405,0.0
Insoluble_Oxalate,RandomForest,4,26,0.36455830440077797,0.0
Insoluble_Oxalate,RandomForest,4,27,0.2625264294173824,0.0
Insoluble_Oxalate,RandomForest,4,28,0.38561811543844876,0.0
Insoluble_Oxalate,RandomForest,4,29,0.3068128791935891,0.1111111111111111
Insoluble_Oxalate,RandomForest,5,6,0.3681141184810862,0.0
Insoluble_Oxalate,RandomForest,5,7,0.20436164039548693,0.0
Insoluble_Oxalate,RandomForest,5,8,0.3319127199305339,0.0
Insoluble_Oxalate,RandomForest,5,9,0.2645618084676489,0.0
Insoluble_Oxalate,RandomForest,5,10,0.19699669308932571,0.0
Insoluble_Oxalate,RandomForest,5,11,0.28910521569027736,0.0
Insoluble_Oxalate,RandomForest,5,12,0.3761745629354739,0.25
Insoluble_Oxalate,RandomForest,5,13,0.2611974148767634,0.25
Insoluble_Oxalate,RandomForest,5,14,0.3103838505304341,0.0
Insoluble_Oxalate,RandomForest,5,15,0.29458209178529826,0.0
Insoluble_Oxalate,RandomForest,5,16,0.1874637575174539,0.0
Insoluble_Oxalate,RandomForest,5,17,0.29938080090160507,0.0
Insoluble_Oxalate,RandomForest,5,18,0.2658665406358497,0.0
Insoluble_Oxalate,RandomForest,5,19,0.2966573607077488,0.0
Insoluble_Oxalate,RandomForest,5,20,0.35629044603443377,0.0
Insoluble_Oxalate,RandomForest,5,21,0.2569119942279377,0.0
