trait,model,auc_mean,auc_std,auc_count,pr_auc_mean,pr_auc_std,pr_auc_count,mcc_mean,mcc_std,mcc_count,topk_mean,topk_std,topk_count
Mass_of_Seeds,RandomForest,0.6479766899766899,0.15751794561271437,25,0.42379864949864954,0.17428810473761536,25,-0.004961389383568339,0.024806946917841695,25,0.32,0.15275252316519466,25
Mass_of_Seeds,XGBoost,0.6136550116550117,0.16133229190284842,25,0.4087722647722648,0.17244843032259663,25,0.01235629630101623,0.22032223105985638,25,0.28800000000000003,0.1423610433604175,25
Phenol,LightGBM,0.4134080364080364,0.18450040720442945,25,0.2936654734154734,0.13601780798040097,25,-0.0066291652265698066,0.2485176828012915,25,0.168,0.11075498483890767,25
Phenol,LogReg,0.3726265401265401,0.16673107574281965,25,0.27579578569578567,0.1470341487115041,25,-0.08318797653144738,0.19221902227557994,25,0.136,0.1254325848148452,25
Phenol,MLP,0.431024087024087,0.17747637377420952,25,0.3046868002368002,0.16278278392701268,25,-0.05404851533996828,0.22559409459697177,25,0.17600000000000002,0.1451436070471816,25
Phenol,RandomForest,0.35612393162393163,0.14215533413563933,25,0.25331392496392496,0.12226588282257307,25,0.04330929705677817,0.2051459644619305,25,0.11200000000000002,0.11661903789690602,25
Phenol,XGBoost,0.39264119214119214,0.16451952278444917,25,0.28614523254523255,0.15112647585478184,25,-0.013314234053690135,0.26493705545182766,25,0.136,0.13808210118138656,25
Seed_Coat_Tannin,LightGBM,0.29435897435897435,0.12604429003578305,25,0.21253585575644401,0.07402965955783807,25,-0.13971819945909325,0.1624447359478851,25,0.08,0.10000000000000002,25
Seed_Coat_Tannin,LogReg,0.4947692307692308,0.14870639875573857,25,0.2722765805001099,0.10577157409581642,25,-0.08298744117237497,0.19551084153146134,25,0.168,0.14922019523732927,25
Seed_Coat_Tannin,MLP,0.4998974358974359,0.164962905665039,25,0.30199527444233326,0.14536789850105963,25,-0.09262354824144625,0.23577193506425617,25,0.168,0.1492201952373293,25
Seed_Coat_Tannin,RandomForest,0.4404102564102564,0.14682151812797856,25,0.25559445151798094,0.10079718295242593,25,0.01157278413364092,0.09700052262564758,25,0.136,0.13808210118138653,25
Seed_Coat_Tannin,XGBoost,0.4015384615384615,0.1354729501705792,25,0.23706942621648505,0.07920642352748734,25,-0.06360622247867603,0.15167484484976726,25,0.128,0.14,25
Seed_Length,LightGBM,0.6298076923076923,0.18078298120035965,25,0.42585035044320757,0.1793998869501826,25,0.11811680806448814,0.3057838185457816,25,0.32,0.1914854215512676,25
Seed_Length,LogReg,0.711981684981685,0.12397061149559453,25,0.4814612184112184,0.1889151563020242,25,0.16837833540464914,0.24811222178454964,25,0.35200000000000004,0.21039645117412664,25
Seed_Length,MLP,0.6711172161172161,0.151425951230024,25,0.4486087684801971,0.19428220501686805,25,0.07913665388076423,0.27875707047844295,25,0.344,0.21228911104120876,25
Seed_Length,RandomForest,0.6843516483516483,0.17427496283047905,25,0.4664260459117602,0.20193327319923812,25,0.0,0.0,25,0.344,0.2122891110412088,25
Seed_Length,XGBoost,0.6082106227106227,0.18585510143074638,25,0.4536111885469028,0.18722495037899917,25,0.10764657486762351,0.2411556326248152,25,0.336,0.2138535324312725,25
Seed_Thickness,LightGBM,0.6904009324009324,0.1484027576299228,25,0.4230139560874855,0.12321584936057761,25,0.06939663242662292,0.21894100644703532,25,0.35200000000000004,0.18511257835886422,25
Seed_Thickness,LogReg,0.5867156177156176,0.11535690164075524,25,0.36551501058854,0.12595992701283298,25,0.14731405400813283,0.2185627822462237,25,0.30400000000000005,0.17435595774162693,25
Seed_Thickness,MLP,0.540025641025641,0.14884388203431304,25,0.34612160769513706,0.14003290979040003,25,-0.008735048930840223,0.2550889482169962,25,0.23200000000000004,0.17009801096230767,25
Seed_Thickness,RandomForest,0.6565955710955711,0.13191937288807148,25,0.45098860888566766,0.15898430095689614,25,-0.03929591332526691,0.06995228610223181,25,0.32800000000000007,0.15143755588800725,25
Seed_Thickness,XGBoost,0.6918368298368298,0.15450128201394486,25,0.4393240163975458,0.16144460117570403,25,-0.004621049844969366,0.19775284188715847,25,0.344,0.15832456116050556,25
Seed_Width,LightGBM,0.6527948717948717,0.14185008502742594,25,0.4298034813770108,0.15735770002056929,25,0.09119223423077806,0.2697801756528394,25,0.28800000000000003,0.1423610433604175,25
Seed_Width,LogReg,0.7102820512820514,0.13864572072559792,25,0.47286325156325154,0.13906221406953345,25,0.22788711970705158,0.2880025083097893,25,0.36800000000000005,0.17009801096230764,25
Seed_Width,MLP,0.7123076923076923,0.13800527393907416,25,0.494251702001702,0.18060078660677903,25,0.1580517459433059,0.27472574805088334,25,0.36,0.12909944487358055,25
Seed_Width,RandomForest,0.6782307692307693,0.1571672049498452,25,0.4406852684352684,0.18187528187554441,25,0.0,0.0,25,0.30400000000000005,0.1540562667772179,25
Seed_Width,XGBoost,0.7016538461538461,0.13679057869808378,25,0.4642643782143782,0.17698746375295893,25,0.07586014372001719,0.29113006551832393,25,0.36,0.18257418583505536,25
Soluble_Oxalate,LightGBM,0.5,0.0,24,0.21205357142857142,0.07283409466761748,24,0.0,0.0,24,0.25,0.10632190661423899,24
Soluble_Oxalate,LogReg,0.797420634920635,0.21438336476042982,24,0.6777777777777777,0.2727860669559239,24,0.40066407304108154,0.4016194533114428,24,0.30833333333333335,0.1316010660280157,24
Soluble_Oxalate,MLP,0.7633928571428572,0.18796194205017253,24,0.629563492063492,0.2442354391808884,24,0.31021063915526814,0.3589958691325425,24,0.2916666666666667,0.11764599317505432,24
Soluble_Oxalate,RandomForest,0.728968253968254,0.18594065232980395,24,0.5690972222222223,0.24837003870679364,24,0.0,0.0,24,0.3,0.11795356492391769,24
Soluble_Oxalate,XGBoost,0.732936507936508,0.1811520455957289,24,0.574537037037037,0.2635023442358434,24,0.20174645990673645,0.4112623678037995,24,0.30833333333333335,0.11764599317505434,24
Tannin,LightGBM,0.3379549339549339,0.193017261927256,25,0.24455292115292118,0.12000009406247018,25,-0.10014248024554286,0.21948708448943025,25,0.11200000000000002,0.15362291495737215,25
Tannin,LogReg,0.41486557886557884,0.17881390807939584,25,0.26611525141525144,0.09215570495224652,25,-0.043610427188777924,0.24695949202939294,25,0.17600000000000002,0.16653327995729061,25
Tannin,MLP,0.4656118881118881,0.16924818756594273,25,0.267814837014837,0.07952821056244566,25,-0.09051817932121912,0.15887283717072767,25,0.19200000000000003,0.12220201853215575,25
Tannin,RandomForest,0.42387062937062936,0.16819871026118663,25,0.25797124727124726,0.0959655716796149,25,0.0,0.0,25,0.128,0.16206994374857625,25
Tannin,XGBoost,0.34249494949494946,0.15227007092750486,25,0.2262226551226551,0.07444871884004386,25,-0.10224321023843878,0.08459106082013966,25,0.08800000000000001,0.10132456102380444,25
Total_Oxalate,LightGBM,0.5,0.0,24,0.21800595238095236,0.07557439883285248,24,0.0,0.0,24,0.19166666666666668,0.13805061033726998,24
Total_Oxalate,LogReg,0.6501984126984127,0.21398059329008098,24,0.4954199735449735,0.255048947764727,24,0.060329846934822795,0.3878408032425222,24,0.275,0.11515584902738285,24
Total_Oxalate,MLP,0.6008928571428571,0.2744751226805838,24,0.5171626984126984,0.3050195672295708,24,0.13147766732513716,0.39815005093046707,24,0.25833333333333336,0.13805061033726998,24
Total_Oxalate,RandomForest,0.659623015873016,0.21015512733323385,24,0.4846560846560846,0.24406047216757226,24,0.0,0.0,24,0.3,0.1318760946791574,24
Total_Oxalate,XGBoost,0.5887896825396826,0.22535968070618806,24,0.4351190476190476,0.21017450250331046,24,-0.06243185804226193,0.1848779684614457,24,0.25833333333333336,0.13805061033726998,24
