trait,model,rep,fold,thr_train_fold,n_pos_train,n_pos_test,n_test,auc,pr_auc,mcc,topk,p_pos_class
Antioxidant,XGBoost,2,2,337.8414341045991,13,3,16,0.4358974358974358,0.4555555555555555,0.53748384988657,0.2,3.0
Antioxidant,LightGBM,2,2,337.8414341045991,13,3,16,0.41025641025641024,0.20476190476190476,-0.23076923076923078,0.2,3.0
Antioxidant,LogReg,2,3,333.7388808039932,13,4,16,0.75,0.6846590909090909,0.4622501635210242,0.4,4.0
Antioxidant,RandomForest,2,3,333.7388808039932,13,4,16,0.6875,0.551923076923077,0.0,0.4,4.0
Antioxidant,MLP,2,3,333.7388808039932,13,4,16,0.6875,0.6583333333333333,0.4622501635210242,0.4,4.0
Antioxidant,XGBoost,2,3,333.7388808039932,13,4,16,0.75,0.6846590909090909,0.4472135954999579,0.4,4.0
Antioxidant,LightGBM,2,3,333.7388808039932,13,4,16,0.5416666666666667,0.3479437229437229,0.0,0.4,4.0
Antioxidant,LogReg,2,4,336.55687453692025,13,3,15,0.7777777777777779,0.42063492063492064,0.16666666666666666,0.4,3.0
Antioxidant,RandomForest,2,4,336.55687453692025,13,3,15,0.6666666666666667,0.3333333333333333,0.0,0.2,3.0
Antioxidant,MLP,2,4,336.55687453692025,13,3,15,0.6944444444444444,0.3472222222222222,0.07537783614444091,0.2,3.0
Antioxidant,XGBoost,2,4,336.55687453692025,13,3,15,0.5277777777777778,0.2574074074074074,-0.19611613513818402,0.2,3.0
Antioxidant,LightGBM,2,4,336.55687453692025,13,3,15,0.38888888888888884,0.2078754578754579,-0.25,0.0,3.0
Antioxidant,LogReg,3,0,337.8414341045991,13,3,16,0.7179487179487178,0.5396825396825397,0.09245003270420485,0.2,3.0
Antioxidant,RandomForest,3,0,337.8414341045991,13,3,16,0.7435897435897436,0.4027777777777778,0.0,0.2,3.0
Antioxidant,MLP,3,0,337.8414341045991,13,3,16,0.641025641025641,0.5075757575757576,0.1794871794871795,0.2,3.0
Antioxidant,XGBoost,3,0,337.8414341045991,13,3,16,0.7692307692307692,0.4206349206349206,0.30261376633440124,0.2,3.0
Antioxidant,LightGBM,3,0,337.8414341045991,13,3,16,0.2564102564102564,0.164021164021164,0.0,0.0,3.0
Antioxidant,LogReg,3,1,337.8414341045991,13,3,16,0.7692307692307692,0.4444444444444444,0.1794871794871795,0.4,3.0
Antioxidant,RandomForest,3,1,337.8414341045991,13,3,16,0.7179487179487178,0.5575757575757575,0.0,0.4,3.0
Antioxidant,MLP,3,1,337.8414341045991,13,3,16,0.717948717948718,0.3416666666666666,0.3670584895244009,0.4,3.0
Antioxidant,XGBoost,3,1,337.8414341045991,13,3,16,0.641025641025641,0.5380952380952381,0.1794871794871795,0.4,3.0
Antioxidant,LightGBM,3,1,337.8414341045991,13,3,16,0.5641025641025641,0.2574074074074074,-0.18156825980064073,0.2,3.0
Antioxidant,LogReg,3,2,343.4559574121539,13,2,16,0.5357142857142858,0.3214285714285714,0.15289415743128767,0.2,2.0
Antioxidant,RandomForest,3,2,343.4559574121539,13,2,16,0.3214285714285714,0.14583333333333331,0.0,0.0,2.0
Antioxidant,MLP,3,2,343.4559574121539,13,2,16,0.5,0.31666666666666665,0.42857142857142855,0.2,2.0
Antioxidant,XGBoost,3,2,343.4559574121539,13,2,16,0.2857142857142857,0.13392857142857142,-0.09759000729485333,0.0,2.0
Antioxidant,LightGBM,3,2,343.4559574121539,13,2,16,0.0357142857142857,0.09821428571428571,-0.2182178902359924,0.0,2.0
Antioxidant,LogReg,3,3,331.74032290296924,13,5,16,0.5272727272727273,0.525974025974026,0.15289415743128767,0.4,5.0
Antioxidant,RandomForest,3,3,331.74032290296924,13,5,16,0.5454545454545454,0.5035897435897436,0.38297084310253526,0.4,5.0
Antioxidant,MLP,3,3,331.74032290296924,13,5,16,0.36363636363636365,0.42275058275058275,-0.0778498944161523,0.2,5.0
Antioxidant,XGBoost,3,3,331.74032290296924,13,5,16,0.6909090909090909,0.5166666666666667,0.15289415743128767,0.6,5.0
Antioxidant,LightGBM,3,3,331.74032290296924,13,5,16,0.6545454545454545,0.6441558441558441,0.3670584895244009,0.4,5.0
Antioxidant,LogReg,3,4,336.55687453692025,13,3,15,0.75,0.75,0.45226701686664544,0.4,3.0
Antioxidant,RandomForest,3,4,336.55687453692025,13,3,15,0.7222222222222222,0.5555555555555556,0.0,0.2,3.0
Antioxidant,MLP,3,4,336.55687453692025,13,3,15,0.7777777777777778,0.7575757575757576,0.35355339059327373,0.4,3.0
Antioxidant,XGBoost,3,4,336.55687453692025,13,3,15,0.7777777777777777,0.6555555555555554,0.294174202707276,0.4,3.0
Antioxidant,LightGBM,3,4,336.55687453692025,13,3,15,0.4166666666666667,0.4603174603174603,0.0,0.2,3.0
Antioxidant,LogReg,4,0,337.8414341045991,13,3,16,0.6153846153846154,0.2777777777777778,0.021591675854376522,0.2,3.0
Antioxidant,RandomForest,4,0,337.8414341045991,13,3,16,0.43589743589743585,0.20787545787545786,0.0,0.0,3.0
Antioxidant,MLP,4,0,337.8414341045991,13,3,16,0.48717948717948717,0.2216931216931217,-0.23076923076923078,0.0,3.0
Antioxidant,XGBoost,4,0,337.8414341045991,13,3,16,0.3846153846153846,0.19461279461279463,-0.12403473458920847,0.0,3.0
Antioxidant,LightGBM,4,0,337.8414341045991,13,3,16,0.41025641025641024,0.19761904761904764,-0.23076923076923078,0.0,3.0
Antioxidant,LogReg,4,1,337.5925595070299,13,3,16,0.5897435897435898,0.31587301587301586,0.09245003270420485,0.4,3.0
Antioxidant,RandomForest,4,1,337.5925595070299,13,3,16,0.4358974358974359,0.22086247086247085,-0.18156825980064073,0.2,3.0
Antioxidant,MLP,4,1,337.5925595070299,13,3,16,0.41025641025641024,0.23809523809523808,0.09245003270420485,0.2,3.0
Antioxidant,XGBoost,4,1,337.5925595070299,13,3,16,0.5384615384615384,0.2409090909090909,0.021591675854376522,0.2,3.0
Antioxidant,LightGBM,4,1,337.5925595070299,13,3,16,0.4102564102564102,0.21249999999999997,-0.23076923076923078,0.2,3.0
Antioxidant,LogReg,4,2,337.8414341045991,13,3,16,0.6923076923076923,0.5499999999999999,0.1794871794871795,0.4,3.0
Antioxidant,RandomForest,4,2,337.8414341045991,13,3,16,1.0,1.0,0.0,0.6,3.0
Antioxidant,MLP,4,2,337.8414341045991,13,3,16,0.5641025641025641,0.5069444444444444,0.021591675854376522,0.2,3.0
Antioxidant,XGBoost,4,2,337.8414341045991,13,3,16,1.0,1.0,0.0,0.6,3.0
Antioxidant,LightGBM,4,2,337.8414341045991,13,3,16,0.641025641025641,0.5213675213675213,0.53748384988657,0.2,3.0
Antioxidant,LogReg,4,3,332.11363479932305,13,5,16,0.7454545454545454,0.7560606060606061,0.41818181818181815,0.6,5.0
Antioxidant,RandomForest,4,3,332.11363479932305,13,5,16,0.7272727272727273,0.5331313131313131,0.0,0.6,5.0
Antioxidant,MLP,4,3,332.11363479932305,13,5,16,0.7090909090909091,0.7466666666666666,0.7125253031944253,0.6,5.0
Antioxidant,XGBoost,4,3,332.11363479932305,13,5,16,0.6545454545454545,0.5269230769230768,0.15289415743128767,0.6,5.0
Antioxidant,LightGBM,4,3,332.11363479932305,13,5,16,0.5818181818181818,0.552014652014652,0.23354968324845687,0.4,5.0
Antioxidant,LogReg,4,4,336.55687453692025,13,3,15,0.3611111111111111,0.19761904761904764,-0.25,0.0,3.0
